28571.00.0
29343.00.0
27324.00.0
27036.00.0
26954.00.0
27381.00.0
27390.00.0
26896.00.0
26704.00.0
26999.00.0
27301.00.0
29117.00.0
32718.00.0
30791.00.0
28327.00.0
28903.00.0
28582.00.0
32739.00.0
31582.00.0
28955.00.0
30960.00.0
33557.00.0
34916.00.0
33420.00.0
31501.00.0
