90.00.0
67.00.0
66.00.0
63.00.0
62.00.0
62.00.0
62.00.0
62.00.0
71.00.0
67.00.0
62.00.0
62.00.0
69.00.0
62.00.0
62.00.0
62.00.0
60.00.0
63.00.0
63.00.0
61.00.0
63.00.0
61.00.0
63.00.0
67.00.0
62.00.0
61.00.0
61.00.0
78.00.0
72.00.0
73.00.0
74.00.0
73.00.0
74.00.0
73.00.0
73.00.0
73.00.0
73.00.0
82.00.0
63.00.0
61.00.0
65.00.0
62.00.0
61.00.0
61.00.0
62.00.0
61.00.0
61.00.0
62.00.0
61.00.0
62.00.0
