33120.00.0
31629.00.0
31269.00.0
30394.00.0
29269.00.0
29763.00.0
31435.00.0
30867.00.0
30630.00.0
32286.00.0
31816.00.0
31190.00.0
31737.00.0
31579.00.0
30235.00.0
29844.00.0
29848.00.0
31047.00.0
31597.00.0
31183.00.0
31957.00.0
32064.00.0
31938.00.0
31397.00.0
30223.00.0
