538938.00.0
243253.00.0
236766.00.0
238268.00.0
236822.00.0
235773.00.0
233493.00.0
236742.00.0
234970.00.0
233491.00.0
231741.00.0
232187.00.0
234406.00.0
230959.00.0
232219.00.0
231546.00.0
233031.00.0
232860.00.0
232344.00.0
232048.00.0
231053.00.0
230885.00.0
238299.00.0
232193.00.0
233839.00.0
