246729.00.0
212528.00.0
219610.00.0
214271.00.0
232998.00.0
214863.00.0
213653.00.0
210960.00.0
212539.00.0
213001.00.0
211875.00.0
214243.00.0
213614.00.0
211470.00.0
211649.00.0
212257.00.0
212686.00.0
213735.00.0
213720.00.0
213126.00.0
213518.00.0
213860.00.0
211457.00.0
212953.00.0
209784.00.0
213140.00.0
217289.00.0
217694.00.0
218397.00.0
213979.00.0
214232.00.0
215026.00.0
215539.00.0
216487.00.0
213320.00.0
214936.00.0
214409.00.0
215746.00.0
214736.00.0
214268.00.0
214544.00.0
214230.00.0
214469.00.0
214353.00.0
213530.00.0
230104.00.0
213928.00.0
214969.00.0
214435.00.0
214280.00.0
