34690.00.0
32572.00.0
31335.00.0
30874.00.0
30057.00.0
32036.00.0
30879.00.0
29881.00.0
28997.00.0
28767.00.0
30810.00.0
31649.00.0
31063.00.0
30453.00.0
28715.00.0
29339.00.0
28624.00.0
28998.00.0
29730.00.0
32961.00.0
32290.00.0
31456.00.0
29907.00.0
28829.00.0
28965.00.0
